Year,Month,Meter Read,Usage (kWh),Avg. Daily Usage,Bill Amount
2021,6,24272,1431,48,178.85
2021,7,25979,1707,59,217.93
2021,8,27780,1801,62,229.56
2021,9,28852,1072,34,125.89
2021,10,29538,686,24,86.21
2021,11,31416,1878,57,204.41
2021,12,33128,1712,55,192.97
2022,1,35719,2591,89,284.65
2022,2,37261,1542,50,178.09
2022,3,38231,970,33,119.98
2022,4,39361,1130,38,136.86
2022,5,40482,1121,35,145.71
2022,6,41904,1422,47,190.03
2022,7,43651,1747,60,250.96
2022,8,45162,1511,52,217.36
2022,9,46178,1016,32,142.91
2022,10,47301,1123,39,155.76
2022,11,49314,2013,59,263.68
2022,12,51858,2544,82,328.03
2023,1,54241,2372,77,307.7
2023,2,55686,1456,50,196.38
2023,3,57348,1661,50,221.4
2023,4,58187,839,31,121.9
2023,5,58882,694,25,102.69
2023,6,60411,1529,53,218.45
2023,7,62524,2112,75,278.81
2023,8,64815,2291,74,305.2
2023,9,66325,1510,54,193.24
2023,10,67849,1523,54,194.72
2023,11,70465,2615,79,319.3
2023,12,73255,2790,96,340.15
2024,1,76555,3299,110,402.22
2024,2,79376,2821,101,348.49
2024,3,81612,2236,77,286.13
2024,4,83598,1985,71,256.57
2024,5,85015,1416,46,204.94
2024,6,87127,2112,75,308.28
2024,7,89760,2633,91,357.42
2024,8,92043,2283,74,309.21
2024,9,93305,1262,45,177.47
2024,10,94998,1692,60,231.26
2024,11,97381,2383,72,314.02
2024,12,100758,3376,113,433.4
2025,1,105916,5157,172,659.84
2025,2,109747,3831,136.82,495.19
2025,3,111668,1921,68.61,257.37
2025,4,113672,2004,64.65,269.84
2025,5,114953,1281,44.17,189.5
2025,6,117598,2644,94.43,388.25
2025,7,120468,2869,92.55,443.8
2025,8,122468,2000,68.97,311.38
2025,9,124317,1849,66.04,283.91
2025,10,126175,1857,66.32,285.06
2025,11,129588,3413,103.42,506.71
2025,12,135015,5426,169.56,803.46
